2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T06:59:00Z;97.779;97.779;97.779;97.779;5;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:03:00Z;97.778;97.78;97.78;97.778;7;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:06:00Z;97.78;97.78;97.78;97.78;30;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:08:00Z;97.11;97.11;97.11;97.11;3;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:09:00Z;97.111;97.111;97.111;97.111;3;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:11:00Z;97.779;97.78;97.78;97.779;8;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:14:00Z;97.779;97.78;97.78;97.779;5;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:18:00Z;97.78;97.781;97.781;97.78;20;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:29:00Z;97.78;97.781;97.781;97.78;40;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:48:00Z;97.571;97.57;97.571;97.57;11;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T07:49:00Z;97.78;97.78;97.78;97.78;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T08:04:00Z;97.78;97.78;97.78;97.78;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T08:45:00Z;97.561;97.561;97.561;97.561;3;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T08:56:00Z;97.556;97.55;97.556;97.55;2;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T08:59:00Z;97.561;97.561;97.561;97.561;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T09:55:00Z;97.561;97.561;97.561;97.561;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T10:14:00Z;97.5;97.431;97.5;97.431;21;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T10:17:00Z;97.561;97.561;97.561;97.561;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T10:37:00Z;97.561;97.561;97.561;97.561;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T11:32:00Z;97.433;97.433;97.433;97.433;5;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T11:48:00Z;97.56;97.56;97.56;97.56;2;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T12:35:00Z;97.433;97.433;97.433;97.433;8;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T12:53:00Z;97.556;97.556;97.556;97.556;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T13:21:00Z;97.56;97.56;97.56;97.56;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T13:33:00Z;97.551;97.551;97.551;97.551;4;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T13:35:00Z;97.551;97.55;97.551;97.55;2;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T13:44:00Z;97.437;97.431;97.437;97.431;995;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T14:43:00Z;97.44;97.433;97.44;97.433;5;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T14:54:00Z;97.45;97.45;97.45;97.45;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T15:01:00Z;97.45;97.45;97.45;97.45;1;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T15:39:00Z;97.45;97.45;97.45;97.45;95;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T15:45:00Z;97.549;97.549;97.549;97.549;2;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T16:42:00Z;97.55;97.55;97.55;97.55;2;
2a0dcd79-e6ea-4b53-9788-a35c8592f9c7;2024-10-30T18:49:00Z;97.548;97.549;97.549;97.548;100;
